Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,t,pct_of_receipts,pillar2_rank_wt,pillar2_rank,pillar1_rank,pillar1_rank_wt,sigmoid,curve
Deficit,88426000000,Deficit,-2.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.11920292202211757,281.8907605527014
Excise Taxes,8123000000,Receipt,-2.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.11920292202211757,164.42514512939022
Corporation Income Taxes,5935000000,Receipt,-2.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.11920292202211757,117.58309797043601
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.11920292202211757,384.2066662347931
Miscellaneous Receipts,11516000000,Receipt,-2.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.11920292202211757,221.0
Customs Duties,2421000000,Receipt,-2.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.11920292202211757,70.74105081148183
Estate and Gift Taxes,2015000000,Receipt,-2.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.11920292202211757,23.899003652527647
Excise Taxes,8123000000,Receipt,-1.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.14804719803168948,164.67320590307253
Miscellaneous Receipts,11516000000,Receipt,-1.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.14804719803168948,221.0
Corporation Income Taxes,5935000000,Receipt,-1.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.14804719803168948,117.76049026789488
Estate and Gift Taxes,2015000000,Receipt,-1.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.14804719803168948,23.935058997539613
Individual Income Taxes,103981000000,Receipt,-1.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.14804719803168948,332.58864719139456
Deficit,88426000000,Deficit,-1.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.14804719803168948,281.5013628265722
Customs Duties,2421000000,Receipt,-1.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.14804719803168948,70.84777463271725
Social Insurance and Retirement Receipts,106425000000,Receipt,-1.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.14804719803168948,383.67593155621694
Excise Taxes,8123000000,Receipt,-1.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.18242552380635635,164.96885950473467
Deficit,88426000000,Deficit,-1.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.18242552380635635,281.0372554286142
Miscellaneous Receipts,11516000000,Receipt,-1.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.18242552380635635,221.0
Customs Duties,2421000000,Receipt,-1.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.18242552380635635,70.97497443808352
Corporation Income Taxes,5935000000,Receipt,-1.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.18242552380635635,117.97191697140909
Estate and Gift Taxes,2015000000,Receipt,-1.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.18242552380635635,23.978031904757945
Social Insurance and Retirement Receipts,106425000000,Receipt,-1.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.18242552380635635,383.04337036196307
Individual Income Taxes,103981000000,Receipt,-1.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.18242552380635635,332.0403128952886
Deficit,88426000000,Deficit,-1.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.22270013882530884,280.49354812585835
Miscellaneous Receipts,11516000000,Receipt,-1.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.22270013882530884,221.0
Customs Duties,2421000000,Receipt,-1.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.22270013882530884,71.12399051365364
Estate and Gift Taxes,2015000000,Receipt,-1.25,0.008381305736723013,25.0,8.0,7.6,23.75,0.22270013882530884,24.028375173531636
Excise Taxes,8123000000,Receipt,-1.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.22270013882530884,165.31522119389766
Social Insurance and Retirement Receipts,106425000000,Receipt,-1.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.22270013882530884,382.30231744561434
Corporation Income Taxes,5935000000,Receipt,-1.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.22270013882530884,118.21960585377565
Individual Income Taxes,103981000000,Receipt,-1.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.22270013882530884,331.3979327857363
Individual Income Taxes,103981000000,Receipt,-1.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.2689414213699951,330.66038432914854
Estate and Gift Taxes,2015000000,Receipt,-1.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.2689414213699951,24.086176776712495
Deficit,88426000000,Deficit,-1.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.2689414213699951,279.86929081150504
Miscellaneous Receipts,11516000000,Receipt,-1.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.2689414213699951,221.0
Excise Taxes,8123000000,Receipt,-1.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.2689414213699951,165.71289622378197
Customs Duties,2421000000,Receipt,-1.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.2689414213699951,71.29508325906897
Corporation Income Taxes,5935000000,Receipt,-1.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.2689414213699951,118.50398974142547
Social Insurance and Retirement Receipts,106425000000,Receipt,-1.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.2689414213699951,381.4514778467921
Excise Taxes,8123000000,Receipt,-0.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.320821300824607,166.15906318709162
Individual Income Taxes,103981000000,Receipt,-0.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.320821300824607,329.8329002518475
Customs Duties,2421000000,Receipt,-0.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.320821300824607,71.48703881305104
